Validation Rewards,External Rewards
238480.55572096843,-3617645.7999999844
238480.55572096843,-3617645.7999999844
238480.55572096843,-3617645.7999999844
238480.55572096843,-3617645.7999999844
238480.55572096843,-3617645.7999999844
224178.05572096843,-3651231.8199999835
224178.05572096843,-3651231.8199999835
224178.05572096843,-3651231.8199999835
224178.05572096843,-3651231.8199999835
209065.2280820698,-3755512.2799999835
209065.2280820698,-3755512.2799999835
209065.2280820698,-3755512.2799999835
209065.2280820698,-3755512.2799999835
209060.2280820698,-3755482.3799999836
209060.2280820698,-3755482.3799999836
209060.2280820698,-3755482.3799999836
224025.55572096843,-3667313.499999985
224025.55572096843,-3667313.499999985
224025.55572096843,-3667313.499999985
224025.55572096843,-3667313.499999985
224025.55572096843,-3667313.499999985
209060.2280820698,-3785623.199999987
209060.2280820698,-3785623.199999987
212418.7280820698,-3771792.3599999864
209060.2280820698,-3785623.199999987
209060.2280820698,-3785623.199999987
211697.7280820698,-3772683.4199999874
209060.2280820698,-3785623.199999987
209060.2280820698,-3785623.199999987
209060.2280820698,-3785623.199999987
209060.2280820698,-3785623.199999987
224080.55572096843,-3684272.4199999836
224080.55572096843,-3684272.4199999836
224080.55572096843,-3684272.4199999836
233417.87519240257,-3650594.379999982
228587.55572096843,-3665858.9799999846
228592.55572096843,-3665866.4799999846
228592.55572096843,-3665866.4799999846
228592.55572096843,-3665866.4799999846
228642.55572096843,-3665729.8999999845
228642.55572096843,-3665729.8999999845
228701.55572096843,-3662522.1799999843
233308.37519240257,-3647210.6599999852
233308.37519240257,-3647210.6599999852
233308.37519240257,-3647210.6599999852
232086.37519240257,-3652200.979999985
232076.37519240257,-3652163.5799999847
232076.37519240257,-3652163.5799999847
232076.37519240257,-3652163.5799999847
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
232096.37519240257,-3652200.879999985
220617.72808206978,-3741436.379999988
220617.72808206978,-3741436.379999988
220617.72808206978,-3741436.379999988
220612.72808206978,-3741406.479999988
220612.72808206978,-3741406.479999988
220612.72808206978,-3741406.479999988
220612.72808206978,-3741406.479999988
227119.7280820698,-3720746.6799999867
227119.7280820698,-3720746.6799999867
227119.7280820698,-3720746.6799999867
227119.7280820698,-3720746.6799999867
225938.2280820698,-3723771.399999984
225938.2280820698,-3723771.399999984
225938.2280820698,-3723771.399999984
230244.7280820698,-3706011.639999986
230244.7280820698,-3706011.639999986
230244.7280820698,-3706011.639999986
230244.7280820698,-3706011.639999986
230239.7280820698,-3705981.7399999863
230239.7280820698,-3705981.7399999863
230239.7280820698,-3705981.7399999863
230239.7280820698,-3705981.7399999863
230239.7280820698,-3705981.7399999863
230420.78905767956,-3706442.1199999857
230420.78905767956,-3706442.1199999857
230420.78905767956,-3706442.1199999857
230420.78905767956,-3706442.1199999857
230425.78905767956,-3706472.019999986
230425.78905767956,-3706472.019999986
230425.78905767956,-3706472.019999986
230425.78905767956,-3706472.019999986
230425.78905767956,-3706472.019999986
230425.78905767956,-3706472.019999986
248293.93616801233,-3607666.639999985
248283.93616801233,-3607629.2399999853
248283.93616801233,-3607629.2399999853
243073.55811923184,-3613207.3999999855
243073.55811923184,-3613207.3999999855
243073.55811923184,-3613207.3999999855
243073.55811923184,-3613207.3999999855
243073.55811923184,-3613207.3999999855
243073.55811923184,-3613207.3999999855
243073.55811923184,-3613207.3999999855
243073.55811923184,-3613207.3999999855
243073.55811923184,-3613207.3999999855
248283.93616801233,-3607629.2399999853
248283.93616801233,-3607629.2399999853
244714.43616801233,-3628041.799999983
244664.43616801233,-3628178.379999983
244664.43616801233,-3628178.379999983
244664.43616801233,-3628178.379999983
244664.43616801233,-3628178.379999983
244664.43616801233,-3628178.379999983
244664.43616801233,-3628178.379999983
244664.43616801233,-3628178.379999983
244716.93616801233,-3627905.4999999832
244716.93616801233,-3627905.4999999832
244736.93616801233,-3627919.199999983
244736.93616801233,-3627919.199999983
244716.93616801233,-3627905.4999999832
246882.93616801233,-3628689.9999999846
246900.43616801233,-3628863.5999999843
246900.43616801233,-3628863.5999999843
246900.43616801233,-3628863.5999999843
255348.43616801233,-3599767.6799999867
255348.43616801233,-3599767.6799999867
255330.93616801233,-3599594.079999987
255608.5587599563,-3599949.7999999872
255608.5587599563,-3599949.7999999872
255608.5587599563,-3599949.7999999872
255608.5587599563,-3599949.7999999872
